title,price,location,area,bathrooms,bedrooms,price_per_sqm
ADA602** 2 Bedrooms apartments for rent in Khuwair,350.0,"Al Khuwair, Muscat•",110.0,3.0,2.0,3.1818181818181817
ADC701***Shop for Rent in New Commercial Building – 150 SQM,1250.0,"Bosher, Muscat•",150.0,2.0,2.0,8.333333333333334
Studio room near Al Mouj free wifi,150.0,"The Wave (Almouj), Muscat•",45.0,1.0,1.0,3.3333333333333335
VILLA FOR RENT NEAR CROWNE PLAZA 4 BEDROOMS,3000.0,"Qurum, Muscat•",1436.0,6.0,4.0,2.0891364902506964
محلات للايجار في موقع مميز بالموالح 11 shop for rent in Al Mawaleh 11,200.0,"Al Mawaleh, Muscat•",29.6,2.0,2.0,6.756756756756756
beautiful And spacious villa in Mabelah for rent,800.0,"Al Maabilah, Muscat•",400.0,12.0,9.0,2.0
LUXURY OFFICE SPACES AT AFFORDABLE PRICES NOW FOR RENT!,250.0,"Al Khuwair, Muscat•",15.0,2.0,2.0,16.666666666666668
All Inclusive Serviced Office Spaces for Rent - Al Khuwair Bait Eteen,150.0,"Al Khuwair, Muscat•",10.0,2.0,2.0,15.0
BRAND NEW FULY FIRNISHED OFFICE SPACES FOR RENT - AL KHUWAIR !!,250.0,"Al Khuwair, Muscat•",60.0,2.0,2.0,4.166666666666667
BUDGET FRIENDLY FULLY FURNISHED SERVICED OFFICES FOR RENT - AL KHUWAIR,100.0,"Al Khuwair, Muscat•",10.0,2.0,2.0,10.0
one room in souq alseeb,100.0,"Al Seeb, Muscat•",65.0,1.0,1.0,1.5384615384615385
Shop for rent in seeb sooq (B291),100.0,"Al Seeb, Muscat•",25.0,2.0,2.0,4.0
shop in Al hail south محل  الحيل الجنوبية,180.0,"Al Hail, Muscat•",28.0,2.0,2.0,6.428571428571429
3bhk Luxury in wadi kabir free WiFi,250.0,"Al Wadi Al Kabir, Muscat•",95.0,2.0,2.0,2.6315789473684212
2bhk luxury in wadi kabir free wifi(B2525),230.0,"Al Wadi Al Kabir, Muscat•",100.0,2.0,2.0,2.3
25Sqm Shop in almarat (B7820),80.0,"Al Amarat, Muscat•",30.0,2.0,2.0,2.6666666666666665
لإيجار ارض المسفاه  400sqm land for rent in Al-Masfa,320.0,"Misfah, Muscat•",400.0,2.0,2.0,0.8
200sqm office in mabail free Wifi (B1772),400.0,"Al Maabilah, Muscat•",200.0,2.0,2.0,2.0
30 sqm Shop in mabila (B11356),100.0,"Al Maabilah, Muscat•",30.0,2.0,2.0,3.3333333333333335
2bhk in mbd free fiber internet,180.0,"Ruwi, Muscat•",95.0,2.0,2.0,1.894736842105263
168 sqm commercial property in alkhoud (B572),420.0,"Al Khoud, Muscat•",168.0,2.0,2.0,2.5
158 SQM shop in mabil 3محل ارضي المعبيله,900.0,"Al Maabilah, Muscat•",158.0,2.0,2.0,5.69620253164557
Beautiful 4+1 BR Villa Available for Rent in Azaiba,630.0,"Azaiba, Muscat•",300.0,6.0,5.0,2.1
High-end villa for rent in Al-Azaiba,630.0,"Azaiba, Muscat•",350.0,5.0,4.0,1.8
AZAIBA | BEAUTIFUL 4+1 BR VILLA,630.0,"Azaiba, Muscat•",300.0,5.0,4.0,2.1
"ADV901**A beautiful, Maintained Villa 4BHK+Maid for rent in Qurum in a",700.0,"Qurum, Muscat•",365.0,5.0,4.0,1.917808219178082
ADW02***Well-Maintained 2BHK Fully Furnited Flat in The Wave – Sea Vie,700.0,"The Wave (Almouj), Muscat•",110.0,3.0,2.0,6.363636363636363
ADV936** 4bhk + Maid's villa for rent in Qurum,1200.0,"Qurum, Muscat•",420.0,5.0,4.0,2.857142857142857
ADV937** 5bhk + Maid's villa for rent in Qurum,1600.0,"Qurum, Muscat•",450.0,6.0,5.0,3.5555555555555554
ADV904**3BHK+Maid Brand new villa in Madinat Illam,1050.0,"Qurum, Muscat•",350.0,4.0,3.0,3.0
Furnished Office for Rent Seeb مكتب للإيجار مؤثث في سكوير الخوض السيب,140.0,"Al Seeb, Muscat•",100.0,2.0,2.0,1.4
Furnished Office for Rent Avenues Mall Ghoubra مكتب للإيجار في الغبرة,150.0,"Bosher, Muscat•",100.0,2.0,2.0,1.5
ADW05**Beautiful & Spacious fully Furnished 2+1BHK Apartment for Rent,1200.0,"The Wave (Almouj), Muscat•",165.0,3.0,2.0,7.2727272727272725
RV05 - 4BHK GROUNDFLOOR VILLA FOR RENT IN AL KHOUD,400.0,"Al Khoud, Muscat•",600.0,4.0,4.0,0.6666666666666666
Brand New Spacious 5 BHK Villa for Rent – Seeb,650.0,"Al Seeb, Muscat•",220.0,6.0,5.0,2.9545454545454546
Prime Brand new Warehouse for Rent in Khazaen Economic City,1800.0,"Muscat - Other, Muscat•",600.0,2.0,2.0,3.0
Prime Open Land & Yard for Rent in Jifnain – Ideal for Logistics,3060.0,"Muscat - Other, Muscat•",3400.0,2.0,2.0,0.9
Taminat - Bausher - 2-bedroom apartment,425.0,"Bosher, Muscat•",140.0,3.0,2.0,3.0357142857142856
3bhk flat for rent in MQ,475.0,"Madinat As Sultan Qaboos, Muscat•",150.0,3.0,3.0,3.1666666666666665
مكتب للإيجارمؤثث في سكوير الخوض السيب Office for Rent Furnished,140.0,"Al Khoud, Muscat•",100.0,2.0,2.0,1.4
Office for Rent in Avenues Mall Ghubrah Bawshar Khuwair - مكتب للايجار,150.0,"Al Ghubrah, Muscat•",100.0,2.0,2.0,1.5
MADINAT AL ILAM | SPACIOUS 4+1 BEDROOM TOWNHOUSE,650.0,"Madinat As Sultan Qaboos, Muscat•",300.0,6.0,4.0,2.1666666666666665
one room in darsait free wifi(B3222),85.0,"Darsait, Muscat•",35.0,1.0,1.0,2.4285714285714284
MADINAT AL ILAM | MODERN OPULENT 7+2 BR VILLA FOR RENT,2500.0,"Madinat As Sultan Qaboos, Muscat•",500.0,12.0,8.0,5.0
Excellent 4+1 BR BR Townhouses for Rent in Madinatl Al Illam,650.0,"Madinat As Sultan Qaboos, Muscat•",300.0,5.0,5.0,2.1666666666666665
BOSHER AL MUNA | MODERN 3+1BR TOWNHOUSE WITH PRIVATE POOL,800.0,"Bosher, Muscat•",300.0,5.0,4.0,2.6666666666666665
Beautiful 4 BR Compound Villa Available for Rent in Al Qurum,1800.0,"Qurum, Muscat•",400.0,5.0,4.0,4.5
Apartment for Rent \ Sale  in Al Qurum,320.0,"Qurum, Muscat•",130.0,3.0,2.0,2.4615384615384617
MQ | EXCELLENT 5+1 BR VILLA,850.0,"Madinat As Sultan Qaboos, Muscat•",300.0,6.0,5.0,2.8333333333333335
