title,price,location,area,bathrooms,bedrooms,log_price,log_area
sr-ms--949 fully furnished flat for rent in bosher.,400.0,"bosher, muscat",170.0,3.0,2.0,5.993961427306569,5.14166355650266
1 bhk apartment in grand mall (sd23h),450.0,"bosher, muscat",120.0,2.0,1.0,6.111467339502679,4.795790545596741
2 bhk apartment in muscat grand mall (s27g),550.0,"bosher, muscat",120.0,3.0,2.0,6.311734809152915,4.795790545596741
exclusive fully serviced office spaces - al khuwair - bait eteen,250.0,"al khuwair, muscat",12.0,2.0,2.0,5.5254529391317835,2.5649493574615367
"adw03**beautiful & spacious 2 bhk apartment for rent – the wave, marsa",700.0,"the wave (almouj), muscat",110.0,2.0,2.0,6.55250788703459,4.709530201312334
brand new 3 br townhouse in al muna bousher,700.0,"bosher, muscat",300.0,4.0,3.0,6.55250788703459,5.707110264748875
al khuwair | excellent 2 bhk flat for families,270.0,"al khuwair, muscat",105.0,2.0,2.0,5.602118820879701,4.663439094112067
fully furnished 1 bhk apartment,300.0,"al ghubrah, muscat",85.0,1.0,1.0,5.707110264748875,4.454347296253507
fully furnished 2 br flat in khuwair (available soon),350.0,"al khuwair, muscat",105.0,2.0,2.0,5.860786223465865,4.663439094112067
1bhk in bosher free wifi (b264),200.0,"bosher, muscat",80.0,2.0,1.0,5.303304908059076,4.394449154672439
2bhk near al mouj free wifi (b173),250.0,"al mawaleh, muscat",100.0,3.0,2.0,5.5254529391317835,4.61512051684126
1bhk in almasfah,100.0,"misfah, muscat",70.0,2.0,1.0,4.61512051684126,4.2626798770413155
للايجار شقه جديده في موقع متميز في غلا شقه غرفه وصاله,220.0,"ghala, muscat",75.0,2.0,1.0,5.3981627015177525,4.330733340286331
للإيجار – محلين تجاريين في الموالح الجنوبية 11 مقابل جهاز الضرائب,325.0,"al mawaleh, muscat",74.0,2.0,2.0,5.786897381366708,4.31748811353631
للايجار شقة للعوائل في بوشر 1bhk for rent,190.0,"bosher, muscat",75.0,2.0,1.0,5.25227342804663,4.330733340286331
for rent open space offices and companies located in prime area ghala,800.0,"ghala, muscat",350.0,2.0,2.0,6.68586094706836,5.860786223465865
شقه بموقع مميز في الغبرة الشمالية ( للمكاتب فقط) flat for office need,350.0,"al ghubrah, muscat",120.0,2.0,2.0,5.860786223465865,4.795790545596741
al khuwair | well maintained 2 br flat,280.0,"al khuwair, muscat",105.0,2.0,2.0,5.638354669333745,4.663439094112067
2 bedroom apartment for rent in al mouj,700.0,"the wave (almouj), muscat",136.0,2.0,2.0,6.55250788703459,4.919980925828125
bousher | brand-new 3 br villas with pool,850.0,"bosher, muscat",300.0,4.0,3.0,6.7464121285733745,5.707110264748875
one room in alkuwair free wifi,130.0,"al khuwair, muscat",30.0,1.0,1.0,4.875197323201151,3.4339872044851463
ghubra  well maintained 2bhk apartment - free wifi,250.0,"al ghubrah, muscat",100.0,2.0,2.0,5.5254529391317835,4.61512051684126
ada056*3bhk apartement for rent in khuwair jasmine complex,550.0,"al khuwair, muscat",120.0,4.0,3.0,6.311734809152915,4.795790545596741
murooj al zain – salalah’s hidden gem,80.0,"salalah, dhofar",90.0,3.0,2.0,4.394449154672439,4.51085950651685
a premium villa in a gated community in madinat sultan qaboos,725.0,"madinat as sultan qaboos, muscat",360.0,5.0,5.0,6.587550014824796,5.8888779583328805
3bhk in wadi kabir with free wifi (b656),220.0,"al wadi al kabir, muscat",105.0,2.0,3.0,5.3981627015177525,4.663439094112067
*adv707** 4+1bhk villa for rent in bousher –al muna,600.0,"bosher, muscat",310.0,5.0,4.0,6.398594934535208,5.739792912179234
adl06**penthouse 2bhk apartement for rent in the links,675.0,"muscat hills, muscat",180.0,3.0,2.0,6.516193076042964,5.198497031265826
adl05*2bhk furnished penthouse for rent in muscat hills + private pool,600.0,"muscat hills, muscat",120.0,2.0,2.0,6.398594934535208,4.795790545596741
madinat al ilam | excellent 4+1 br townhouse,650.0,"madinat as sultan qaboos, muscat",300.0,6.0,4.0,6.478509642208569,5.707110264748875
beautiful fully furnished 2 bhk apartment,400.0,"al ghubrah, muscat",105.0,2.0,2.0,5.993961427306569,4.663439094112067
al khuwair | beautiful 2 br apartment,270.0,"al khuwair, muscat",105.0,3.0,2.0,5.602118820879701,4.663439094112067
amazing 4 br compound townhouse (immediate move-in),750.0,"madinat as sultan qaboos, muscat",300.0,4.0,4.0,6.621405651764134,5.707110264748875
madinat qaboos | 3+2 br refurbished traditional villa with spacious ba,699.0,"madinat as sultan qaboos, muscat",350.0,5.0,4.0,6.551080335043404,5.860786223465865
madinat al ilam | compact 4 br villa in a great location,750.0,"madinat as sultan qaboos, muscat",300.0,4.0,4.0,6.621405651764134,5.707110264748875
6 br stunning villa in bousher with shared pool,650.0,"bosher, muscat",400.0,7.0,6.0,6.478509642208569,5.993961427306569
71 sqm office space for rent bausher facing mall of oman mpc28-a,340.0,"bosher, muscat",71.0,2.0,2.0,5.831882477283517,4.276666119016055
2bhk apartment for rent in al qurum park view bldg. ppa55,425.0,"qurum, muscat",110.0,3.0,2.0,6.054439346269371,4.709530201312334
